-99	-51.7	21.45
-95	-51.97	16.19
-90	-51.97	12.45
-85	-51.97	9.98
-80	-52	8.38
-75	-52.03	7.72
-70	-52.09	9.23
-65	-52.17	22.97
-60	-52.27	48.61
-55	-52.39	56.75
-50	-52.57	53.89
-45	-52.78	51.19
-40	-53.05	48.64
-35	-53.43	46.2
-30	-53.93	43.85
-25	-54.66	41.58
-20	-55.76	39.36
-15	-57.61	37.2
-10	-61.4	35.07
-5	-73.2	32.96
0	-130.86	30.86
5	-132.96	-26.8
10	-135.07	-38.6
15	-137.2	-42.39
20	-139.36	-44.24
25	-141.58	-45.34
30	-143.85	-46.07
35	-146.2	-46.57
40	-148.64	-46.95
45	-151.19	-47.22
50	-153.89	-47.43
55	-156.75	-47.61
60	-159.83	-131.4	-78.61	-47.73
65	-163.16	-140.49	-52.97	-47.83
70	-166.83	-145.39
75	-170.92	-148.5
80	-175.6	-150.46
85	178.91	-151.56
90	172.12	-151.91
95	162.87	-151.55
99	149.98	-151.42	-51.45	-48.3
