-99	121.42	-143.01
-95	121.65	-144.14
-90	121.91	-144.62
-85	121.56	-144.14
-80	120.46	-142.62
-75	118.5	-139.76
-70	115.39	-134.67
-65	110.49	-125.84
-60	101.4	-129.17
-55	58.13	-132.25
-50	55.92	-135.11
-45	52.99	-137.81
-40	49.01	-140.36
-35	43.4	-142.8
-30	34.71	-145.15
-25	17.59	-147.42
-20	-15.21	-149.64
-15	-21.52	-151.8
-10	-23.65	-153.93
-5	-25.76	-156.04
0	-27.86	-158.14
5	-29.96	-160.24
10	-32.07	-162.35
15	-34.2	-164.48
20	-36.36	-170.79
25	-38.58	156.41
30	-40.85	139.29
35	-43.2	130.6
40	-45.64	124.99
45	-48.19	121.01
50	-50.89	118.08
55	-53.75	115.87
60	-56.83	114.17
65	-52.97	112.87
70	74.67	75.33	104.67	111.89	-39.23	45.33
75	109.76	111.17	-37.72	40.23
80	-38.38	37.37
85	-39.98	35.86
90	-42.45	35.37
95	-46.19	35.86
99	-51.45	36.98
