-99	-10.45	21.45	121.42	175.5
-95	-12.22	16.19	121.55	162.61
-90	-12.17	12.45	121.91	153.36
-85	-12.22	9.98	121.56	146.58
-80	-12.36	8.38	120.46	141.08
-75	-12.61	7.72	118.5	136.41
-70	-12.97	9.23	115.39	132.31
-65	-13.45	22.97	110.49	128.65
-60	-14.08	48.61	101.4	125.31
-55	-14.9	122.23
-50	-15.97	119.37
-45	-17.34	116.67
-40	-19.14	114.12
-35	-21.57	111.68
-30	-24.95	109.33
-25	-29.92	107.06
-20	-38.07	104.85
-15	-54.57	102.68
-10	-85.98	100.55
-5	-94.24	98.44
0	-96.34	96.34
5	-98.44	94.24
10	-100.55	85.98
15	-102.68	54.57
20	-104.85	38.07
25	-107.06	29.92
30	-109.33	24.95
35	-111.68	21.57
40	-114.12	19.14
45	-116.67	17.34
50	-119.37	15.97
55	-122.23	14.9
60	-78.61	14.08
65	-52.97	13.45
70	-39.23	12.97
75	-37.72	12.61
80	-38.38	12.36
85	-39.98	12.22
90	-153.36	-151.91	-42.45	12.17
95	-162.61	-151.55	-46.19	12.22
99	-175.5	-151.42	-51.45	10.45
