-99	-66.98	21.45
-95	-65.86	16.19
-90	-65.37	12.45
-85	-65.86	9.98
-80	-67.37	8.38
-75	-70.23	7.72
-70	-75.33	9.23
-65	-99.87	22.97
-60	-100.33	30.23
-55	-100.94	27.16
-50	-101.71	24.29
-45	-102.7	21.6
-40	-103.99	19.04
-35	-105.73	16.6
-30	-108.1	14.25
-25	-111.58	11.98
-20	-117.03	9.77
-15	-126.91	7.61
-10	-153.54	5.47
-5	-176.78	3.36
0	178.73	1.26
5	176.64	-3.22
10	174.53	-26.46
15	172.39	-53.09
20	170.23	-62.97
25	168.02	-68.42
30	165.75	-71.9
35	163.4	-74.27
40	160.96	-76.01
45	158.4	-77.3
50	155.71	-78.29
55	152.84	-79.06
60	149.77	-131.4
65	146.43	-140.49
70	142.77	-145.39
75	138.67	-148.5
80	134	-150.46
85	128.5	-151.56
90	121.72	-151.91
95	114.14	-151.55
99	113.01	-151.42
