-99	-66.98	21.45
-95	-65.86	16.19
-90	-65.37	12.45
-85	-65.86	9.98
-80	-67.37	8.38
-75	-70.23	7.72
-70	-75.33	9.23
-65	-92.17	22.97
-60	-92.27	19.83
-55	-92.39	16.75
-50	-92.57	13.89
-45	-92.78	11.19
-40	-93.05	8.64
-35	-93.43	6.2
-30	-93.93	3.85
-25	-94.66	1.58
-20	-95.76	-0.64
-15	-97.61	-2.8
-10	-101.4	-4.93
-5	-113.2	-7.04
0	-170.86	-9.14
5	-172.96	-66.8
10	-175.07	-78.6
15	-177.2	-82.39
20	-179.36	-84.24
25	178.42	-85.34
30	176.15	-86.07
35	173.8	-86.57
40	171.36	-86.95
45	168.81	-87.22
50	166.11	-87.43
55	163.25	-87.61
60	160.17	-131.4	-108.61	-101.4
65	156.84	-140.49
70	153.17	-145.39
75	149.08	-148.5
80	144.4	-150.46
85	138.91	-151.56
90	132.12	-151.91
95	122.87	-151.55
99	113.01	-151.42
