-99	-1.7	21.45	121.42	160.02
-95	-1.97	16.19	121.55	147.13
-90	-1.97	12.45	121.91	137.88
-85	-1.97	9.98	121.56	131.09
-80	-2	8.38	121.46	135.6
-75	-2.03	7.72	118.5	120.92
-70	-2.29	9.23	115.39	116.83
-65	-2.17	22.97	110.49	113.16
-60	-2.27	48.61	101.4	109.83
-55	-2.39	106.75
-50	-2.57	103.89
-45	-2.78	101.19
-40	-3.05	98.64
-35	-3.43	96.2
-30	-3.93	93.85
-25	-4.66	91.58
-20	-5.76	89.36
-15	-7.61	87.2
-10	-11.4	85.07
-5	-23.2	82.96
0	-80.89	80.89
5	-82.96	23.2
10	-85.07	11.4
15	-87.2	7.61
20	-89.36	5.76
25	-91.58	4.66
30	-93.85	3.93
35	-96.2	3.43
40	-98.64	3.05
45	-101.19	2.78
50	-103.89	2.57
55	-106.75	2.39
60	-78.61	2.27
65	-52.97	2.17
70	-39.23	2.09
75	-37.72	2.03
80	-38.38	2
85	-39.98	1.97
90	-42.45	1.97
95	-46.19	1.97
99	-160.02	-151.42	-51.45	1.7
