-99	-66.98	21.45
-95	-65.86	16.19
-90	-65.37	12.45
-85	-65.86	9.98
-80	-67.37	8.38
-75	-70.23	7.72
-70	-72.09	9.23
-65	-72.17	22.97
-60	-72.27	39.83
-55	-72.39	36.75
-50	-72.57	33.89
-45	-72.78	31.19
-40	-73.05	28.64
-35	-73.43	26.2
-30	-73.93	23.85
-25	-74.66	21.58
-20	-75.76	19.36
-15	-77.61	17.2
-10	-81.4	15.07
-5	-93.2	12.96
0	-150.86	10.86
5	-152.96	-46.8
10	-155.07	-58.6
15	-157.2	-62.39
20	-159.36	-64.24
25	-161.58	-65.34
30	-163.85	-66.07
35	-166.2	-66.57
40	-168.64	-66.95
45	-171.19	-67.22
50	-173.89	-67.43
55	-176.75	-67.61
60	-179.83	-131.4	-78.61	-67.73
65	176.84	-140.49
70	173.17	-145.39
75	169.08	-148.5
80	164.4	-150.46
85	158.91	-151.56
90	152.12	-151.91
95	142.87	-151.55
99	129.98	-151.42
